id,model_name,f1,f2,f3,f4,f5,f6,f7,f8,f9,f10,f11,f12,f13,f14,f15,f16
0,model_max,0.022700438547171947,0.0023122118520184066,0.008841223434161695,0.05574609243225003,0.008475767457550944,0.012017879230855759,0.00664848757449676,0.0031415157989429783,0.015229675025300768,0.013458619138648384,0.010928539300573548,0.16571320139435522,0.020683402676262175,0.012249803216012605,0.6410238389744742,0.0008293039469245462
1,model_sum,0.001859431328436323,0.0008348467188897779,0.00037405469872332233,0.006651668338167142,0.008532783996964197,0.006559509934133874,0.007909359499091984,0.00101374244436615,0.007291356083809953,0.0027322256254574,0.0644512509148078,0.22475266310682238,0.02032363863063461,0.0028514894424416775,0.6437210310899084,0.00014094814734503017
2,model_lc,0.001876870230359277,0.0004338049117339726,0.0007112039709380125,0.003346495033376436,0.0023755983261622465,0.00043675596555529814,0.0007023508094740586,0.000973847761035461,0.0041727901033458996,0.0005193854725522428,0.08446211141998805,0.26059870979926936,0.01962155685795401,0.0015670095791206955,0.6174312847117704,0.0007702250473644105
